Word,Count
*,13259
the,7346
,3460
of,2358
is,2065
for,1854
it,1704
to,1657
License,1453
Public,1451
General,1451
a,1319
and,1275
or,1168
-,1028
GNU,1012
version,1000
A,996
program,976
Software,969
Free,968
if,931
*This,886
this,873
in,873
be,864
that,761
@see,720
with,682
by,661
should,602
can,586
have,579
you,557
will,550
@param,537
(non-Javadoc),532
(C),528
any,525
See,515
without,512
write,508
copy,505
more,504
your,502
2,497
under,497
either,494
even,493
FreeMind,490
later,489
terms,488
free,488
FOR,488
\useful,\,487
ANY,486
warranty,486
redistribute,486
received,486
\not,\,486
details,486
implied,485
and/or,485
published,484
software;,484
Foundation;,484
PURPOSE,484
FITNESS,484
PARTICULAR,484
MA,483
distributed,483
\Inc.,\,483
WARRANTY;,483
USA,483
hope,483
\License,\,483
WITHOUT,483
program;,482
(at,480
option),480
\Boston,\,473
Place,473
59,473
\02111-1307,\,472
Suite,472
Temple,472
\330,\,472
creating,472
COPYING,469
viewing,468
Details,465
Mindmaps,463
Program,463
*Copyright,443
*See,443
\*Foundation,\,443
*of,443
*but,443
*MERCHANTABILITY,443
*modify,443
*along,443
*You,443
*as,443
*GNU,442
on,424
Joerg,424
Christian,367
others,356
not,347
@return,332
Daniel,328
This,324
\Mueller,\,321
\Polansky,\,321
method,318
node,300
=,296
Created,290
The,288
Dimitri,279
new,278
Polivaev,272
as,262
@author,261
from,214
are,212
map,211
{,197
an,188
\Foltin,\,186
Foltin,182
},178
+,174
foltin,172
2000-2006,170
$,163
TODO,157
value,155
all,155
file,152
$Id:,143
</dl>,142
Exp,142
Returns,139
we,137
name,137
Auto-generated,135
set,132
If,131
attribute,129
stub,126
<dl>,124
but,118
christianfoltin,113
only,110
//,110
no,109
one,104
class,104
<joergmueller@bigfoot.com>,103
2000-2001,103
Mueller,103
</ul>,98
<ul>,98
\"\\,97
!=,94
nodes,94
\fc,\,93
XML,91
<dd>,89
</dd>,89
Copyright,88
get,86
has,86
which,85
public,84
action,84
remove,81
element,80
first,80
return,79
string,77
change,77
when,76
user,76
2000-2004,74
used,74
at,74
list,74
TODO:,71
=>,70
key,70
You,69
selected,68
boolean),68
@throws,68
after,67
do,67
add,66
String,64
\true,\,63
control,63
returns,62
null,62
last,62
use,62
there,61
Sets,60
text,59
was,58
I,57
null</code>,57
its,57
property,56
date,56
same,55
end,55
link,55
event,55
create,54
here,54
already,54
default,53
other,53
children,53
<dt><b>Preconditions:</b></dt>,52
data,52
{@link,52
current,52
{{{,51
@date,51
hook,50
child,50
given,49
does,48
must,48
}}},47
modify,47
content,47
then,46
parent,46
menu,45
void,45
character,45
valid,44
root,44
call,44
error,43
day,43
along,43
exception,42
Create,42
),42
2005,42
int),41
\Foundation,\,41
position,41
