File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ApplyFormatPlugin.java,72,32,23,2,7,0,33,187,25,167
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\AutomaticLayout.java,467,314,226,23,74,0,79,264,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\BlinkingNodeHook.java,123,65,50,5,16,0,42,204,20,153
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ChangeNodeLevelAction.java,187,119,84,19,17,0,51,285,22,143
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ChangeRootNode.java,199,105,83,10,23,0,71,296,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ClonePasteAction.java,807,582,400,96,60,2,165,786,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ClonePlugin.java,381,273,197,40,36,0,72,365,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\CreationModificationPlugin.java,138,61,45,3,17,0,60,204,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\DeactivateCloneAction.java,68,25,19,4,10,0,33,178,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\EncryptNode.java,269,178,124,19,20,1,71,257,22,143
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ExportToImage.java,128,64,50,4,14,0,50,211,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ExportToOoWriter.java,198,126,95,14,18,2,54,229,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\ExportWithXSLT.java,374,252,181,43,28,1,94,346,25,167
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\FitToPage.java,96,51,40,3,13,0,32,168,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\FormatNewNodes.java,126,74,58,6,20,0,32,186,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\FormatPaste.java,74,34,24,2,11,1,29,160,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\FormularEditor.java,421,280,217,22,44,0,97,271,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\HierarchicalIcons.java,220,127,93,17,25,1,68,249,18,137
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\IconSelectionPlugin.java,96,43,37,1,12,0,41,202,25,167
