Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,498,108918,67368,48374,8552,13461,643,28089,137214,10191,73195
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1,498,108918,67368,48374,8552,13461,643,28089,137214,10191,73195
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories,55,14897,9201,6795,1080,1768,47,3928,17821,1152,8157
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins,55,14897,9201,6795,1080,1768,47,3928,17821,1152,8157
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\dialogs,4,1502,1029,771,133,195,10,278,1217,74,564
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time,13,5455,3192,2379,364,695,11,1568,6942,265,1930
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util,4,566,343,267,19,77,15,146,854,82,587
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\html,1,138,82,62,6,24,0,32,201,18,137
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\window,1,54,19,14,1,7,0,28,182,20,147
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\xslt,2,374,242,191,12,46,15,86,471,44,303
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\de,2,926,684,433,81,101,25,141,694,26,171
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\de\foltin,2,926,684,433,81,101,25,141,694,26,171
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind,370,74728,45560,32731,6226,9167,494,20001,101199,7704,55343
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common,23,2502,1440,1075,141,364,4,698,4160,476,3406
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller,57,9729,6274,4494,836,1223,19,2232,11571,1236,8629
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter,30,4033,2502,1795,409,464,1,1067,5199,691,4604
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition,19,1762,1000,695,212,190,0,572,3134,437,2912
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\util,5,586,319,221,71,80,0,187,875,116,771
