File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\common\BooleanProperty.java,865,373,274,218,179,414,137,18,49,7,57,1,
C:\Users\sainath\Desktop\freemind\common\ColorProperty.java,1291,566,399,324,194,661,231,0,91,8,103,0,
C:\Users\sainath\Desktop\freemind\common\ComboProperty.java,1357,586,423,347,207,622,273,12,124,9,107,2,
C:\Users\sainath\Desktop\freemind\common\DontShowNotificationProperty.java,128,66,34,28,0,88,16,0,4,7,11,0,
C:\Users\sainath\Desktop\freemind\common\FontProperty.java,996,434,313,248,172,533,130,6,76,7,69,1,
C:\Users\sainath\Desktop\freemind\common\IconProperty.java,1232,544,375,312,198,632,217,0,92,7,84,0,
C:\Users\sainath\Desktop\freemind\common\NamedObject.java,361,154,117,90,66,138,89,0,21,7,39,0,
C:\Users\sainath\Desktop\freemind\common\NextLineProperty.java,240,114,70,55,12,158,27,0,9,7,25,0,
C:\Users\sainath\Desktop\freemind\common\NumberProperty.java,1047,453,331,262,203,513,177,18,56,8,69,1,
C:\Users\sainath\Desktop\freemind\common\OptionalDontShowMeAgainDialog.java,2044,884,644,515,354,898,453,0,143,10,157,27,
C:\Users\sainath\Desktop\freemind\common\PropertyBean.java,425,198,122,105,47,246,67,0,28,7,28,0,
C:\Users\sainath\Desktop\freemind\common\PropertyControl.java,168,86,45,36,0,138,9,0,5,7,8,0,
C:\Users\sainath\Desktop\freemind\common\RemindValueProperty.java,375,169,115,89,0,227,54,0,60,7,21,3,
C:\Users\sainath\Desktop\freemind\common\ScriptEditorProperty.java,1293,566,403,324,250,691,180,0,77,8,85,1,
C:\Users\sainath\Desktop\freemind\common\SeparatorProperty.java,278,131,81,64,12,177,40,0,12,7,27,0,
C:\Users\sainath\Desktop\freemind\common\StringProperty.java,547,256,160,130,18,345,91,0,34,8,49,0,
C:\Users\sainath\Desktop\freemind\common\TextTranslator.java,80,43,20,16,0,59,6,0,1,6,7,0,
C:\Users\sainath\Desktop\freemind\common\ThreeCheckBoxProperty.java,1551,631,519,400,384,632,276,12,136,8,95,6,
C:\Users\sainath\Desktop\freemind\common\UnicodeReader.java,1873,627,728,517,1015,286,210,36,228,9,70,15,
C:\Users\sainath\Desktop\freemind\common\XmlBindingTools.java,1896,792,620,482,446,790,331,36,130,9,148,2,
C:\Users\sainath\Desktop\freemind\controller\BlindIcon.java,233,112,68,53,12,148,35,0,6,9,22,0,
C:\Users\sainath\Desktop\freemind\controller\ColorSwatch.java,375,174,112,88,18,207,60,24,21,6,34,2,
C:\Users\sainath\Desktop\freemind\controller\Controller.java,17881,7152,5931,4798,5138,5460,4034,73,1541,49,1526,57,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\AttributeCompareCondition.java,1060,460,334,265,222,533,171,6,57,8,59,2,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\AttributeExistsCondition.java,737,330,226,179,122,424,94,6,37,8,43,1,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\AttributeNotExistsCondition.java,737,331,226,179,122,424,94,6,37,8,43,1,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\CompareConditionAdapter.java,1159,474,387,297,378,503,150,12,44,6,61,2,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\Condition.java,186,95,51,40,0,158,8,0,4,6,9,0,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConditionFactory.java,4015,1410,1481,1123,2036,632,769,73,305,8,176,15,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConditionNotSatisfiedDecorator.java,660,312,193,154,18,434,105,6,43,8,41,1,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConditionRenderer.java,685,291,223,170,185,345,70,0,34,8,39,1,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConjunctConditions.java,1263,518,415,329,309,483,210,36,143,8,66,3,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\DisjunctConditions.java,1262,518,415,329,309,483,210,36,143,8,66,3,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\IconContainedCondition.java,1416,604,450,361,344,651,198,36,94,8,79,2,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\IgnoreCaseNodeContainsCondition.java,594,280,174,138,18,395,91,6,34,6,40,1,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\JCondition.java,144,73,39,31,0,98,17,0,6,7,13,0,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\NodeCompareCondition.java,812,370,246,194,74,503,130,0,44,6,50,1,
